Location,Code,Location2,Code2
Abilene-Sweetwater (DMA),#ERROR!,"Abilene-, Sweetwater",#ERROR!
Albany-Schenectady-Troy (DMA),#ERROR!,"Albany-Schenectady-, Troy",#ERROR!
Albuquerque,#ERROR!,Albuquerque,#ERROR!
Albuquerque-Santa Fe (DMA),#ERROR!,"Albuquerque-Santa , Fe",#ERROR!
Allentown-Bethlehem-Easton PA-NJ (CBSA),#ERROR!,"Allentown-Bethlehem-Easton PA-, NJ",#ERROR!
Arecibo (Region) (DMA),#ERROR!,", Arecibo ",#ERROR!
Athens-Clarke County GA (CBSA),#ERROR!,"Athens-Clarke County , GA",#ERROR!
Atlanta,#ERROR!,Atlanta,#ERROR!
Atlanta (DMA),#ERROR!,", Atlanta",#ERROR!
Augusta (DMA),#ERROR!,", Augusta",#ERROR!
Augusta-Richmond County GA-SC (CBSA),#ERROR!,"Augusta-Richmond County GA-, SC",#ERROR!
Austin (DMA),#ERROR!,", Austin",#ERROR!
Bakersfield (DMA),#ERROR!,", Bakersfield",#ERROR!
Baltimore,#ERROR!,Baltimore,#ERROR!
Bluefield-Beckley-Oak Hill (DMA),#ERROR!,"Bluefield-Beckley-Oak , Hill",#ERROR!
Bluefield WV-VA (CBSA),#ERROR!,"Bluefield WV-, VA",#ERROR!
Butte-Bozeman (DMA),#ERROR!,"Butte-, Bozeman",#ERROR!
Charleston-Huntington (DMA),#ERROR!,"Charleston-, Huntington",#ERROR!
Cincinnati (DMA),#ERROR!,", Cincinnati",#ERROR!
Clarksburg-Weston (DMA),#ERROR!,"Clarksburg-, Weston",#ERROR!
Cleveland,#ERROR!,Cleveland,#ERROR!
Columbus-Tupelo-West Point (DMA),#ERROR!,"Columbus-Tupelo-West , Point",#ERROR!
Corpus Christi (DMA),#ERROR!,"Corpus , Christi",#ERROR!
Cumberland MD-WV (CBSA),#ERROR!,"Cumberland MD-, WV",#ERROR!
Dallas-Fort Worth (DMA),#ERROR!,"Dallas-Fort , Worth",#ERROR!
Dayton (DMA),#ERROR!,", Dayton",#ERROR!
De Ridder LA (CBSA),#ERROR!,"De Ridder , LA",#ERROR!
Erie (DMA),#ERROR!,", Erie",#ERROR!
Fargo ND-MN (CBSA),#ERROR!,"Fargo ND-, MN",#ERROR!
Fargo-Valley City (DMA),#ERROR!,"Fargo-Valley , City",#ERROR!
Fayetteville-Springdale-Rogers AR-MO (CBSA),#ERROR!,"Fayetteville-Springdale-Rogers AR-, MO",#ERROR!
Flint-Saginaw-Bay City (DMA),#ERROR!,"Flint-Saginaw-Bay , City",#ERROR!
Grand Rapids-Kalmazoo-Battle Creek (DMA),#ERROR!,"Grand Rapids-Kalmazoo-Battle , Creek",#ERROR!
Greensboro-High Point-Winston-Salem (DMA),#ERROR!,"Greensboro-High Point-Winston-, Salem",#ERROR!
Greenville et al SC-NC (DMA),#ERROR!,"Greenville et al SC-, NC",#ERROR!
Helena (DMA),#ERROR!,", Helena",#ERROR!
Houston,#ERROR!,Houston,#ERROR!
Iron Mountain MI-WI (CBSA),#ERROR!,"Iron Mountain MI-, WI",#ERROR!
Knoxville (DMA),#ERROR!,", Knoxville",#ERROR!
LaGrange GA (CBSA),#ERROR!,"LaGrange , GA",#ERROR!
Las Vegas (DMA),#ERROR!,"Las , Vegas",#ERROR!
Lewiston ID-WA (CBSA),#ERROR!,"Lewiston ID-, WA",#ERROR!
Little Rock-Pine Bluff (DMA),#ERROR!,"Little Rock-Pine , Bluff",#ERROR!
Lubbock (DMA),#ERROR!,", Lubbock",#ERROR!
Memphis (DMA),#ERROR!,", Memphis",#ERROR!
Miami-Ft Lauderdale,#ERROR!,Miami-Ft Lauderdale,#ERROR!
Minneapolis-Saint Paul (DMA),#ERROR!,"Minneapolis-Saint , Paul",#ERROR!
Montgomery-Selma (DMA),#ERROR!,"Montgomery-, Selma",#ERROR!
Nashville (DMA),#ERROR!,", Nashville",#ERROR!
Natchez MS-LA (CBSA),#ERROR!,"Natchez MS-, LA",#ERROR!
New Orleans (DMA),#ERROR!,"New , Orleans",#ERROR!
New York (DMA),#ERROR!,"New , York",#ERROR!
New York-Northern New Jersey-Long Island NY-NJ-PA (CBSA),#ERROR!,"New York-Northern New Jersey-Long Island NY-NJ-, PA",#ERROR!
Norfolk-Portsmouth-Newport News (DMA),#ERROR!,"Norfolk-Portsmouth-Newport , News",#ERROR!
Orlando-Daytona Beach-Melbourne (DMA),#ERROR!,"Orlando-Daytona Beach-, Melbourne",#ERROR!
Paducah-Cape Girardeau-Harrisburg (DMA),#ERROR!,"Paducah-Cape Girardeau-, Harrisburg",#ERROR!
Pittsburgh (DMA),#ERROR!,", Pittsburgh",#ERROR!
Ponce (Region) (DMA),#ERROR!,", Ponce ",#ERROR!
Quincy IL-MO (CBSA),#ERROR!,"Quincy IL-, MO",#ERROR!
Raleigh-Durham (Fayetteville) (DMA),#ERROR!,"Raleigh-, Durham ",#ERROR!
Sacramento,#ERROR!,Sacramento,#ERROR!
Saginaw-Saginaw Township North MI (CBSA),#ERROR!,"Saginaw-Saginaw Township North , MI",#ERROR!
Salisbury,#ERROR!,Salisbury,#ERROR!
San Antonio,#ERROR!,San Antonio,#ERROR!
San Francisco,#ERROR!,San Francisco,#ERROR!
Sherman-Ada (DMA),#ERROR!,"Sherman-, Ada",#ERROR!
Shreveport (DMA),#ERROR!,", Shreveport",#ERROR!
Spokane (DMA),#ERROR!,", Spokane",#ERROR!
St. Cloud MN (CBSA),#ERROR!,"St. Cloud , MN",#ERROR!
Tallahassee et al FL-GA (DMA),#ERROR!,"Tallahassee et al FL-, GA",#ERROR!
Tampa,#ERROR!,Tampa,#ERROR!
Terre Haute (DMA),#ERROR!,"Terre , Haute",#ERROR!
Union City TN-KY (CBSA),#ERROR!,"Union City TN-, KY",#ERROR!
Virginia Beach-Norfolk-Newport News VA-NC (CBSA),#ERROR!,"Virginia Beach-Norfolk-Newport News VA-, NC",#ERROR!
Waco-Temple-Bryan (DMA),#ERROR!,"Waco-Temple-, Bryan",#ERROR!
Washington-Arlington-Alexandria DC-VA-MD-WV (CBSA),#ERROR!,"Washington-Arlington-Alexandria DC-VA-MD-, WV",#ERROR!
Washington D.C.,#ERROR!,Washington D.C.,#ERROR!
Watertown-Fort Drum NY (CBSA),#ERROR!,"Watertown-Fort Drum , NY",#ERROR!
Weirton-Steubenville WV-OH (CBSA),#ERROR!,"Weirton-Steubenville WV-, OH",#ERROR!
Wilkes Barre-Scranton (DMA),#ERROR!,"Wilkes Barre-, Scranton",#ERROR!
Wilmington (DMA),#ERROR!,", Wilmington",#ERROR!
Youngstown (DMA),#ERROR!,", Youngstown",#ERROR!
Zanesville (DMA),#ERROR!,", Zanesville",#ERROR!
Punta Gorda FL (CBSA),#ERROR!,"Punta Gorda , FL","26.9294444,-82.0455556"
Laredo TX (CBSA),#ERROR!,"Laredo , TX","27.5061111,-99.5072222"
Palm Bay-Melbourne-Titusville FL (CBSA),#ERROR!,"Palm Bay-Melbourne-Titusville , FL","28.6119444,-80.8077778"
Deltona-Daytona Beach-Ormond Beach FL (CBSA),#ERROR!,"Deltona-Daytona Beach-Ormond Beach , FL","29.2855556,-81.0561111"
Gainesville FL (CBSA),#ERROR!,"Gainesville , FL","29.6513889,-82.325"
Kerrville TX (CBSA),#ERROR!,"Kerrville , TX","30.0472222,-99.14"
Fredericksburg TX (CBSA),#ERROR!,"Fredericksburg , TX","30.275,-98.8716667"
Gulfport-Biloxi MS (CBSA),#ERROR!,"Gulfport-Biloxi , MS","30.3958333,-88.8852778"
Pensacola-Ferry Pass-Brent FL (CBSA),#ERROR!,"Pensacola-Ferry Pass-Brent , FL","30.4686111,-87.2361111"
Hammond LA (CBSA),#ERROR!,"Hammond , LA","30.5041667,-90.4611111"
San Angelo TX (CBSA),#ERROR!,"San Angelo , TX","31.4636111,-100.4366667"
Jackson MS (DMA),#ERROR!,"Jackson , MS","32.2986111,-90.1847222"
Vicksburg MS (CBSA),#ERROR!,"Vicksburg , MS","32.3525,-90.8777778"
Montgomery AL (CBSA),#ERROR!,"Montgomery , AL","32.3666667,-86.3"
Columbus GA (DMA),#ERROR!,"Columbus , GA","32.4608333,-84.9877778"
Silver City NM (CBSA),#ERROR!,"Silver City , NM","32.77,-108.2797222"
Carlsbad-Artesia NM (CBSA),#ERROR!,"Carlsbad-Artesia , NM","32.8422222,-104.4027778"
San Diego-Carlsbad-San Marcos CA (CBSA),#ERROR!,"San Diego-Carlsbad-San Marcos , CA","33.1433333,-117.1652778"
Greenville MS (CBSA),#ERROR!,"Greenville , MS","33.41,-91.0616667"
Phoenix AZ (DMA),#ERROR!,"Phoenix , AZ","33.4483333,-112.0733333"
Starkville MS (CBSA),#ERROR!,"Starkville , MS","33.4502778,-88.8183333"
Indianola MS (CBSA),#ERROR!,"Indianola , MS","33.4508333,-90.655"
Columbus MS (CBSA),#ERROR!,"Columbus , MS","33.4955556,-88.4272222"
Killeen-Temple-Fort Hood TX (CBSA),#ERROR!,"Killeen-Temple-Fort Hood , TX","33.5427778,-97.3488889"
Myrtle Beach-Conway-North Myrtle Beach SC (CBSA),#ERROR!,"Myrtle Beach-Conway-North Myrtle Beach , SC","33.6888889,-78.8869444"
Cleveland MS (CBSA),#ERROR!,"Cleveland , MS","33.7438889,-90.7247222"
Los Angeles-Long Beach-Anaheim CA (CBSA),#ERROR!,"Los Angeles-Long Beach-Anaheim , CA","33.8352778,-117.9136111"
Columbia SC (CBSA),#ERROR!,"Columbia , SC","34.0005556,-81.035"
Cedartown GA (CBSA),#ERROR!,"Cedartown , GA","34.0536111,-85.255"
Plainview TX (CBSA),#ERROR!,"Plainview , TX","34.1847222,-101.7063889"
Pine Bluff AR (CBSA),#ERROR!,"Pine Bluff , AR","34.2283333,-92.0030556"
Tupelo MS (CBSA),#ERROR!,"Tupelo , MS","34.2575,-88.7033333"
Hot Springs AR (CBSA),#ERROR!,"Hot Springs , AR","34.5036111,-93.055"
Florence-Muscle Shoals AL (CBSA),#ERROR!,"Florence-Muscle Shoals , AL","34.7447222,-87.6675"
Laurinburg NC (CBSA),#ERROR!,"Laurinburg , NC","34.7738889,-79.4630556"
McAlester OK (CBSA),#ERROR!,"McAlester , OK","34.9333333,-95.7694444"
Corinth MS (CBSA),#ERROR!,"Corinth , MS","34.9341667,-88.5222222"
New Bern NC (CBSA),#ERROR!,"New Bern , NC","35.1083333,-77.0444444"
Brevard NC (CBSA),#ERROR!,"Brevard , NC","35.2333333,-82.7344444"
Shawnee OK (CBSA),#ERROR!,"Shawnee , OK","35.3272222,-96.925"
Elk City OK (CBSA),#ERROR!,"Elk City , OK","35.4119444,-99.4038889"
Shelbyville TN (CBSA),#ERROR!,"Shelbyville , TN","35.4833333,-86.4602778"
Gallup NM (CBSA),#ERROR!,"Gallup , NM","35.5280556,-108.7419444"
Pampa TX (CBSA),#ERROR!,"Pampa , TX","35.5361111,-100.9594444"
San Luis Obispo-Paso Robles CA (CBSA),#ERROR!,"San Luis Obispo-Paso Robles , CA","35.6266667,-120.69"
McMinnville TN (CBSA),#ERROR!,"McMinnville , TN","35.6833333,-85.77"
Muskogee OK (CBSA),#ERROR!,"Muskogee , OK","35.7477778,-95.3694444"
Batesville AR (CBSA),#ERROR!,"Batesville , AR","35.7697222,-91.6408333"
Raleigh-Cary NC (CBSA),#ERROR!,"Raleigh-Cary , NC","35.7913889,-78.7813889"
Dumas TX (CBSA),#ERROR!,"Dumas , TX","35.8655556,-101.9727778"
Sevierville TN (CBSA),#ERROR!,"Sevierville , TN","35.8680556,-83.5619444"
Blytheville AR (CBSA),#ERROR!,"Blytheville , AR","35.9272222,-89.9188889"
Rocky Mount NC (CBSA),#ERROR!,"Rocky Mount , NC","35.9380556,-77.7908333"
Crossville TN (CBSA),#ERROR!,"Crossville , TN","35.9488889,-85.0269444"
Greensboro-High Point NC (CBSA),#ERROR!,"Greensboro-High Point , NC","35.9555556,-80.0055556"
Paragould AR (CBSA),#ERROR!,"Paragould , AR","36.0583333,-90.4972222"
Las Vegas-Paradise NV (CBSA),#ERROR!,"Las Vegas-Paradise , NV","36.0972222,-115.1458333"
Hanford-Corcoran CA (CBSA),#ERROR!,"Hanford-Corcoran , CA","36.0980556,-119.5594444"
Boone NC (CBSA),#ERROR!,"Boone , NC","36.2166667,-81.6747222"
Elizabeth City NC (CBSA),#ERROR!,"Elizabeth City , NC","36.2944444,-76.2513889"
Johnson City TN (CBSA),#ERROR!,"Johnson City , TN","36.3133333,-82.3536111"
Henderson NC (CBSA),#ERROR!,"Henderson , NC","36.3294444,-78.3994444"
Guymon OK (CBSA),#ERROR!,"Guymon , OK","36.6827778,-101.4811111"
Martinsville VA (CBSA),#ERROR!,"Martinsville , VA","36.6913889,-79.8727778"
Fresno CA (CBSA),#ERROR!,"Fresno , CA","36.7477778,-119.7713889"
Poplar Bluff MO (CBSA),#ERROR!,"Poplar Bluff , MO","36.7569444,-90.3927778"
Joplin MO (CBSA),#ERROR!,"Joplin , MO","37.0841667,-94.5130556"
Blacksburg-Christiansburg-Radford VA (CBSA),#ERROR!,"Blacksburg-Christiansburg-Radford , VA","37.1316667,-80.5766667"
Roanoke VA (CBSA),#ERROR!,"Roanoke , VA","37.2708333,-79.9416667"
Madisonville KY (CBSA),#ERROR!,"Madisonville , KY","37.3280556,-87.4988889"
Huntington-Ashland WV-KY-OH (CBSA),#ERROR!,"Huntington-Ashland WV-KY-, OH","37.4083333,-81.3527778"
Danville KY (CBSA),#ERROR!,"Danville , KY","37.6455556,-84.7722222"
Carbondale IL (CBSA),#ERROR!,"Carbondale , IL","37.7272222,-89.2166667"
Farmington MO (CBSA),#ERROR!,"Farmington , MO","37.7808333,-90.4216667"
Staunton-Waynesboro VA (CBSA),#ERROR!,"Staunton-Waynesboro , VA","38.0683333,-78.8897222"
Frankfort KY (CBSA),#ERROR!,"Frankfort , KY","38.2008333,-84.8733333"
Pueblo CO (CBSA),#ERROR!,"Pueblo , CO","38.2544444,-104.6086111"
Washington IN (CBSA),#ERROR!,"Washington , IN","38.6591667,-87.1727778"
Colorado Springs CO (CBSA),#ERROR!,"Colorado Springs , CO","38.8338889,-104.8208333"
Salina KS (CBSA),#ERROR!,"Salina , KS","38.8402778,-97.6111111"
Elkins WV (CBSA),#ERROR!,"Elkins , WV","38.9258333,-79.8469444"
Seymour IN (CBSA),#ERROR!,"Seymour , IN","38.9591667,-85.8902778"
Lawrence KS (CBSA),#ERROR!,"Lawrence , KS","38.9716667,-95.235"
Topeka KS (CBSA),#ERROR!,"Topeka , KS","39.0483333,-95.6777778"
Columbus IN (CBSA),#ERROR!,"Columbus , IN","39.2013889,-85.9213889"
Chillicothe OH (CBSA),#ERROR!,"Chillicothe , OH","39.3330556,-82.9825"
Greensburg IN (CBSA),#ERROR!,"Greensburg , IN","39.3372222,-85.4836111"
Reno NV (DMA),#ERROR!,"Reno , NV","39.5297222,-119.8127778"
Chico CA (CBSA),#ERROR!,"Chico , CA","39.7286111,-121.8363889"
York-Hanover PA (CBSA),#ERROR!,"York-Hanover , PA","39.8005556,-76.9833333"
Gettysburg PA (CBSA),#ERROR!,"Gettysburg , PA","39.8308333,-77.2313889"
New Castle IN (CBSA),#ERROR!,"New Castle , IN","39.9288889,-85.3702778"
Columbus OH (CBSA),#ERROR!,"Columbus , OH","39.9611111,-82.9988889"
Columbus OH (DMA),#ERROR!,"Columbus , OH","39.9611111,-82.9988889"
Indianapolis-Carmel IN (CBSA),#ERROR!,"Indianapolis-Carmel , IN","39.9783333,-86.1180556"
Somerset PA (CBSA),#ERROR!,"Somerset , PA","40.0083333,-79.0783333"
Urbana OH (CBSA),#ERROR!,"Urbana , OH","40.1083333,-83.7525"
Champaign-Urbana IL (CBSA),#ERROR!,"Champaign-Urbana , IL","40.1105556,-88.2072222"
Danville IL (CBSA),#ERROR!,"Danville , IL","40.1244444,-87.63"
Sidney OH (CBSA),#ERROR!,"Sidney , OH","40.2841667,-84.1555556"
Bellefontaine OH (CBSA),#ERROR!,"Bellefontaine , OH","40.3611111,-83.7597222"
Lafayette-West Lafayette IN (CBSA),#ERROR!,"Lafayette-West Lafayette , IN","40.4166667,-86.8752778"
Pittsburgh PA (CBSA),#ERROR!,"Pittsburgh , PA","40.4405556,-79.9961111"
Wapakoneta OH (CBSA),#ERROR!,"Wapakoneta , OH","40.5677778,-84.1936111"
Indiana PA (CBSA),#ERROR!,"Indiana , PA","40.6213889,-79.1527778"
Kearney NE (CBSA),#ERROR!,"Kearney , NE","40.6994444,-99.0811111"
Mansfield OH (CBSA),#ERROR!,"Mansfield , OH","40.7583333,-82.5155556"
Lexington NE (CBSA),#ERROR!,"Lexington , NE","40.7808333,-99.7411111"
Wabash IN (CBSA),#ERROR!,"Wabash , IN","40.7977778,-85.8205556"
Findlay OH (CBSA),#ERROR!,"Findlay , OH","41.0441667,-83.65"
New Haven-Milford CT (CBSA),#ERROR!,"New Haven-Milford , CT","41.2222222,-73.0569444"
Oskaloosa IA (CBSA),#ERROR!,"Oskaloosa , IA","41.2963889,-92.6441667"
Meadville PA (CBSA),#ERROR!,"Meadville , PA","41.6413889,-80.1516667"
Toledo OH (CBSA),#ERROR!,"Toledo , OH","41.6638889,-83.5552778"
Boone IA (CBSA),#ERROR!,"Boone , IA","42.0597222,-93.88"
Springfield MA (CBSA),#ERROR!,"Springfield , MA","42.1013889,-72.5902778"
Erie PA (CBSA),#ERROR!,"Erie , PA","42.1291667,-80.0852778"
Rockford IL (CBSA),#ERROR!,"Rockford , IL","42.2711111,-89.0938889"
Pittsfield MA (CBSA),#ERROR!,"Pittsfield , MA","42.45,-73.2458333"
Dubuque IA (CBSA),#ERROR!,"Dubuque , IA","42.5005556,-90.6644444"
Waterloo-Cedar Falls IA (CBSA),#ERROR!,"Waterloo-Cedar Falls , IA","42.5277778,-92.4452778"
Burley ID (CBSA),#ERROR!,"Burley , ID","42.5358333,-113.7919444"
Racine WI (CBSA),#ERROR!,"Racine , WI","42.7261111,-87.7827778"
Holland MI (CBSA),#ERROR!,"Holland , MI","42.7875,-86.1088889"
Whitewater WI (CBSA),#ERROR!,"Whitewater , WI","42.8336111,-88.7322222"
Watertown-Fort Atkinson WI (CBSA),#ERROR!,"Watertown-Fort Atkinson , WI","42.9288889,-88.8369444"
Mountain Home ID (CBSA),#ERROR!,"Mountain Home , ID","43.1330556,-115.6902778"
Mason City IA (CBSA),#ERROR!,"Mason City , IA","43.1536111,-93.2008333"
Blackfoot ID (CBSA),#ERROR!,"Blackfoot , ID","43.1905556,-112.3441667"
Glens Falls NY (CBSA),#ERROR!,"Glens Falls , NY","43.3094444,-73.6444444"
Sioux Falls SD (CBSA),#ERROR!,"Sioux Falls , SD","43.55,-96.7"
Mount Pleasant MI (CBSA),#ERROR!,"Mount Pleasant , MI","43.5977778,-84.7675"
Mankato-North Mankato MN (CBSA),#ERROR!,"Mankato-North Mankato , MN","44.1636111,-93.9991667"
Oshkosh-Neenah WI (CBSA),#ERROR!,"Oshkosh-Neenah , WI","44.1858333,-88.4625"
Huron SD (CBSA),#ERROR!,"Huron , SD","44.3633333,-98.2138889"
Shawano WI Micro (CBSA),#ERROR!,"Shawano WI , Micro","44.7822222,-88.6088889"
Sheridan WY (CBSA),#ERROR!,"Sheridan , WY","44.7972222,-106.9555556"
Bozeman MT (CBSA),#ERROR!,"Bozeman , MT","45.6797222,-111.0377778"
Escanaba MI (CBSA),#ERROR!,"Escanaba , MI","45.7452778,-87.0644444"
Billings MT (CBSA),#ERROR!,"Billings , MT","45.7833333,-108.5"
Butte-Silver Bow MT (CBSA),#ERROR!,"Butte-Silver Bow , MT","46.0036111,-112.6669444"
Yakima WA (CBSA),#ERROR!,"Yakima , WA","46.6022222,-120.5047222"
Missoula MT (CBSA),#ERROR!,"Missoula , MT","46.8722222,-113.9930556"
Wenatchee WA (CBSA),#ERROR!,"Wenatchee , WA","47.4236111,-120.3091667"
Spokane WA (CBSA),#ERROR!,"Spokane , WA","47.6588889,-117.425"
Panama City (DMA),#ERROR!,"Panama , City","9,-80"
Panama City-Lynn Haven FL (CBSA),#ERROR!,"Panama City-Lynn Haven , FL","9,-80"
Rochester NY (DMA),"18.0130556,-66.6144444",,
Spearfish SD (CBSA),"18.3594444,-66.1113889",,
Arecibo PR (CBSA),"18.4744444,-66.7161111",,
Beeville TX (CBSA),"18.4744444,-66.7161111",,
Aguadilla-Isabela PR (CBSA),"18.5027778,-67.0247222",,
Chicago,"26.1902778,-97.6958333",,
Morgantown WV (CBSA),"26.2155556,-98.325",,
Clearlake CA (CBSA),"26.6402778,-81.8725",,
Salem OR (CBSA),"26.9294444,-82.0455556",,
Arcadia FL (CBSA),"27.2155556,-81.8586111",,
Bedford IN (CBSA),"27.2155556,-81.8586111",,
Phoenix AZ (CBSA),"27.2436111,-80.83",,
Stevens Point WI (CBSA),"27.4952778,-81.4411111",,
Peoria-Bloomington (DMA),"27.4986111,-82.575",,
Madison WI (CBSA),"27.5061111,-99.5072222",,
Sterling IL (CBSA),"27.6383333,-80.3975",,
Alice TX (CBSA),"27.7519444,-98.0694444",,
Batavia NY (CBSA),"27.7519444,-98.0694444",,
Durham NC (CBSA),"27.8002778,-97.3961111",,
Roswell NM (CBSA),"27.8347222,-81.9716667",,
Waco TX (CBSA),"27.9655556,-82.8002778",,
Platteville WI (CBSA),"28.2916667,-81.4077778",,
Brownsville-Harlingen TX (CBSA),"28.4005556,-97.7480556",,
Portland OR (DMA),"28.6119444,-80.8077778",,
Janesville WI (CBSA),"28.8033333,-82.5761111",,
Wichita,"28.805,-97.0033333",,
Warren PA (CBSA),"28.9333333,-81.9486111",,
Philadelphia (DMA),"29.1869444,-82.1402778",,
Fort Dodge IA (CBSA),"29.1963889,-96.2694444",,
Evansville (DMA),"29.2855556,-81.0561111",,
Sikeston MO (CBSA),"29.4238889,-98.4933333",,
Port Clinton OH (CBSA),"29.6483333,-81.6377778",,
Hannibal MO (CBSA),"29.6513889,-82.325",,
North Vernon IN (CBSA),"29.6991667,-91.2066667",,
Jefferson GA (CBSA),"29.7955556,-90.8227778",,
Bridgeport-Stamford-Norwalk CT (CBSA),"29.8986111,-93.9286111",,
Paducah KY-IL (CBSA),"29.9938889,-90.2416667",,
Levelland TX (CBSA),"30.0472222,-99.14",,
Buffalo - Niagara Region (DMA),"30.0797222,-95.4169444",,
Charlottesville VA (CBSA),"30.1666667,-96.3975",,
Ludington MI (CBSA),"30.1894444,-82.6394444",,
Longview TX (CBSA),"30.2238889,-92.0197222",,
Los Angeles,"30.2238889,-92.0197222",,
Lubbock TX (CBSA),"30.2263889,-93.2172222",,
Greenville OH (CBSA),"30.275,-98.8716667",,
Lake Charles (DMA),"30.3319444,-81.6558333",,
El Campo TX (CBSA),"30.3933333,-86.4958333",,
Huntsville-Decatur (Florence) (DMA),"30.3958333,-88.8852778",,
Visalia-Porterville CA (CBSA),"30.4380556,-84.2808333",,
Bradford PA (CBSA),"30.4505556,-91.1544444",,
Pullman WA (CBSA),"30.4686111,-87.2361111",,
Pittsburg KS (CBSA),"30.4941667,-92.4175",,
Hutchinson MN (CBSA),"30.5041667,-90.4611111",,
Austin-Round Rock TX (CBSA),"30.5080556,-97.6786111",,
Bogalusa LA (CBSA),"30.5080556,-97.6786111",,
Emporia KS (CBSA),"30.5227778,-87.9033333",,
Reading PA (CBSA),"30.5252778,-89.6794444",,
Decatur AL (CBSA),"30.6741667,-96.3697222",,
New York (5 Boroughs),"30.6941667,-88.0430556",,
Joplin-Pittsburg (DMA),"30.7233333,-95.5505556",,
Cedar Rapids IA (CBSA),"30.7908333,-89.8486111",,
Warrensburg MO (CBSA),"30.8363889,-83.9788889",,
Bainbridge GA (CBSA),"30.9036111,-84.5755556",,
Boise City-Nampa ID (CBSA),"30.9036111,-84.5755556",,
Chicago (DMA),"31.1497222,-81.4916667",,
Fayetteville NC (CBSA),"31.2230556,-85.3905556",,
Morristown TN (CBSA),"31.2436111,-90.4530556",,
Alexandria LA (CBSA),"31.3111111,-92.445",,
Alexandria LA (DMA),"31.3111111,-92.445",,
Jackson MI (CBSA),"31.3269444,-89.2902778",,
Ponce PR (CBSA),"31.4588889,-85.6405556",,
Shreveport-Bossier City LA (CBSA),"31.4636111,-100.4366667",,
Wilmington NC (CBSA),"31.5491667,-97.1463889",,
Cheyenne-Scottsbluff (DMA),"31.5788889,-90.4405556",,
Orlando,"31.6033333,-94.6552778",,
Marion NC (CBSA),"31.6938889,-89.1305556",,
Fremont NE (CBSA),"31.7586111,-106.4863889",,
Oxford MS (CBSA),"31.7605556,-93.0861111",,
Portland,"31.7619444,-95.6305556",,
Watertown (DMA),"31.8086111,-85.97",,
Lake Havasu City-Kingman AZ (CBSA),"31.9636111,-95.2702778",,
Springfield MO (CBSA),"32.0833333,-81.1",,
Athens TX (CBSA),"32.2047222,-95.8552778",,
Birmingham-Hoover AL (CBSA),"32.2047222,-95.8552778",,
Evansville IN-KY (CBSA),"32.2686111,-107.7580556",,
Kokomo IN (CBSA),"32.2986111,-90.1847222",,
La Crosse-Eau Claire (DMA),"32.2986111,-90.1847222",,
Manitowoc WI (CBSA),"32.3122222,-106.7777778",,
Wheeling WV-OH (CBSA),"32.3525,-90.8777778",,
Norfolk NE (CBSA),"32.3666667,-86.3",,
St. Joseph MO-KS (CBSA),"32.4072222,-87.0211111",,
Jacksonville FL (CBSA),"32.4313889,-80.67",,
Abilene TX (CBSA),"32.4486111,-99.7327778",,
Des Moines,"32.4608333,-84.9877778",,
Vernal UT (CBSA),"32.4708333,-100.4055556",,
McComb MS (CBSA),"32.5005556,-94.7402778",,
New York (Westchester County),"32.5091667,-92.1191667",,
Tallahassee FL (CBSA),"32.5158333,-93.7319444",,
Modesto CA (CBSA),"32.5447222,-94.3672222",,
Winston-Salem NC (CBSA),"32.6208333,-83.6",,
Auburn-Opelika AL (CBSA),"32.6452778,-85.3783333",,
Bloomsburg-Berwick PA (CBSA),"32.6452778,-85.3783333",,
Jacksonville NC (CBSA),"32.7025,-103.1355556",,
The Villages FL (CBSA),"32.7177778,-100.9172222",,
Elkhart-Goshen IN (CBSA),"32.7355556,-97.1077778",,
Macomb IL (CBSA),"32.7375,-101.9505556",,
Taylorville IL (CBSA),"32.77,-108.2797222",,
Fort Leonard Wood MO (CBSA),"32.7919444,-115.5622222",,
Cleveland-Elyria-Mentor OH (CBSA),"32.8422222,-104.4027778",,
Alamogordo NM (CBSA),"32.8994444,-105.9597222",,
Nashville-Davidson--Murfreesboro TN (CBSA),"33.08,-83.2322222",,
Van Wert OH (CBSA),"33.1383333,-95.6008333",,
Sioux Falls (Mitchell) (DMA),"33.1433333,-117.1652778",,
